Time,Humidity,Temp
12:18.2,36,26.3
12:20.2,36,26.2
12:22.3,36,26.2
12:24.3,36,26.2
12:26.3,36,26.2
12:28.4,36,26.2
12:30.4,36,26.2
12:32.4,36,26.2
12:34.4,36,26.2
12:36.4,36,26.2
12:38.5,36,26.2
12:40.5,36,26.1
12:42.5,36,26.1
12:44.6,36,26.1
12:46.6,36,26.1
12:48.6,36,26.1
12:50.6,36,26.1
12:52.7,36,26.1
12:54.7,36,26.1
12:56.7,36,26.1
12:58.8,36,26
13:00.8,36,26
13:02.8,36,26
13:04.9,37,26
13:06.9,35,25.9
13:08.9,36,25.9
13:10.9,36,25.9
13:12.9,36,25.9
13:15.0,35,25.9
13:17.0,36,25.9
13:19.0,35,25.9
13:21.1,36,25.9
13:23.1,36,25.9
13:25.1,36,25.9
13:27.1,36,25.9
13:29.2,36,25.9
13:31.2,36,25.9
13:33.2,36,25.8
13:35.2,36,25.8
13:37.3,36,25.8
13:39.3,36,25.8
13:41.3,36,25.8
13:43.4,36,25.8
13:45.4,36,25.8
13:47.4,36,25.8
13:49.4,36,25.8
13:51.4,36,25.8
13:53.5,36,25.8
13:55.5,36,25.8
13:57.5,36,25.8
13:59.6,36,25.8
14:01.6,36,25.8
14:03.6,36,25.7
14:05.6,36,25.8
14:07.7,36,25.7
14:09.7,36,25.7
14:11.7,36,25.7
14:13.8,36,25.7
14:15.8,36,25.7
14:17.8,36,25.7
14:19.8,36,25.7
14:21.9,36,25.7
14:23.9,36,25.7
14:25.9,36,25.7
14:27.9,36,25.7
14:30.0,36,25.7
14:32.0,36,25.7
14:34.0,36,25.7
14:36.0,36,25.7
14:38.1,36,25.7
14:40.1,36,25.7
14:42.2,36,25.7
14:44.2,36,25.7
14:46.2,36,25.7
14:48.2,36,25.7
14:50.2,36,25.7
14:52.3,36,25.7
14:54.3,36,25.7
14:56.3,37,25.7
14:58.4,36,25.7
15:00.4,36,25.7
15:02.4,36,25.6
15:04.4,37,25.6
15:06.5,37,25.6
15:08.5,37,25.6
15:10.5,37,25.6
15:12.5,37,25.6
15:14.6,37,25.6
15:16.6,37,25.6
15:18.6,37,25.6
15:20.6,37,25.6
15:22.7,37,25.6
15:24.7,36,25.6
15:26.7,36,25.6
15:28.7,37,25.6
15:30.8,36,25.6
15:32.8,36,25.6
15:34.8,37,25.5
15:36.9,36,25.6
15:38.9,36,25.6
15:40.9,36,25.6
15:43.0,37,25.6
15:45.0,36,25.6
15:47.0,37,25.6
15:49.0,37,25.5
15:51.1,37,25.6
15:53.1,37,25.6
15:55.1,37,25.6
15:57.1,37,25.6
15:59.2,37,25.6
16:01.2,37,25.6
16:03.2,37,25.6
16:05.2,37,25.5
16:07.2,37,25.5
16:09.3,37,25.5
16:11.3,37,25.5
16:13.4,37,25.5
16:15.4,37,25.5
16:17.4,37,25.5
16:19.4,37,25.5
16:21.4,37,25.5
16:23.5,37,25.5
16:25.5,37,25.5
16:27.5,37,25.5
16:29.6,37,25.5
16:31.6,37,25.5
16:33.6,37,25.5
16:35.6,37,25.5
16:37.7,37,25.5
16:39.7,37,25.5
16:41.7,37,25.5
16:43.7,37,25.5
16:45.8,37,25.5
16:47.8,37,25.5
16:49.8,37,25.5
16:51.8,37,25.5
16:53.9,37,25.5
16:55.9,37,25.5
16:58.0,37,25.5
17:00.0,37,25.5
17:02.0,37,25.5
17:04.0,37,25.5
17:06.1,37,25.5
17:08.1,37,25.5
17:10.1,37,25.5
17:12.1,37,25.4
17:14.2,37,25.4
17:16.2,37,25.5
17:18.2,37,25.4
17:20.3,37,25.4
17:22.3,37,25.4
17:24.3,37,25.4
17:26.3,37,25.4
17:28.4,37,25.4
17:30.4,37,25.4
17:32.4,37,25.4
17:34.4,37,25.4
17:36.4,37,25.4
17:38.5,37,25.4
17:40.5,37,25.4
17:42.5,37,25.4
17:44.6,37,25.4
17:46.6,37,25.4
17:48.6,37,25.4
17:50.6,37,25.4
17:52.7,37,25.4